Input file; #Clusters; MinDelta; AvgClusterValues
fuzzer-out/afl/queue/id:000000,orig:example.txt; 7; 86.00; [555.00,727.00,641.00,813.00,383.00,469.00,899.00]
fuzzer-out/afl/queue/id:000001,src:000000,op:havoc,rep:16; 6; 2.00; [125.00,141.00,133.00,127.00,149.00,129.00]
fuzzer-out/afl/queue/id:000002,src:000000,op:havoc,rep:32,+cluster,+delta; 8; 86.00; [555.00,727.00,469.00,899.00,383.00,1071.00,813.00,641.00]
fuzzer-out/afl/queue/id:000003,src:000000,op:havoc,rep:16,+cluster,+delta; 11; 86.00; [555.00,297.00,211.00,985.00,641.00,125.00,727.00,1157.00,383.00,469.00,813.00]
fuzzer-out/afl/queue/id:000004,src:000000,op:havoc,rep:2; 7; 86.00; [555.00,727.00,383.00,899.00,641.00,469.00,813.00]
fuzzer-out/afl/queue/id:000005,src:000000,op:havoc,rep:16; 8; 86.00; [555.00,813.00,469.00,641.00,297.00,727.00,125.00,383.00]
fuzzer-out/afl/queue/id:000006,src:000000,op:havoc,rep:128; 9; 86.00; [297.00,383.00,899.00,641.00,555.00,469.00,813.00,125.00,211.00]
fuzzer-out/afl/queue/id:000007,src:000000,op:havoc,rep:2; 8; 86.00; [727.00,899.00,383.00,555.00,641.00,813.00,469.00,297.00]
fuzzer-out/afl/queue/id:000008,src:000000,op:havoc,rep:64,+delta; 11; 92.00; [493.00,125.00,309.00,677.00,769.00,1229.00,861.00,953.00,401.00,217.00,585.00]
fuzzer-out/afl/queue/id:000009,src:000000,op:havoc,rep:32; 8; 86.00; [555.00,727.00,641.00,211.00,469.00,383.00,297.00,125.00]
fuzzer-out/afl/queue/id:000010,src:000000,op:havoc,rep:128; 9; 86.00; [641.00,383.00,211.00,469.00,985.00,727.00,125.00,297.00,555.00]
fuzzer-out/afl/queue/id:000011,src:000000,op:havoc,rep:32; 9; 86.00; [813.00,555.00,469.00,727.00,297.00,211.00,641.00,125.00,383.00]
fuzzer-out/afl/queue/id:000012,src:000000,op:havoc,rep:64,+cluster,+delta; 12; 86.00; [555.00,727.00,469.00,813.00,297.00,1071.00,211.00,985.00,383.00,1157.00,125.00,641.00]
fuzzer-out/afl/queue/id:000013,src:000000+000012,op:splice,rep:128,+delta; 12; 92.00; [217.00,585.00,1229.00,493.00,861.00,677.00,125.00,401.00,1137.00,309.00,769.00,953.00]
fuzzer-out/afl/queue/id:000014,src:000000+000006,op:splice,rep:64; 8; 47.00; [360.00,595.00,313.00,172.00,125.00,407.00,266.00,642.00]
fuzzer-out/afl/queue/id:000015,src:000000+000009,op:splice,rep:64; 9; 86.00; [125.00,555.00,641.00,469.00,813.00,383.00,297.00,727.00,211.00]
fuzzer-out/afl/queue/id:000016,src:000005+000013,op:splice,rep:8,+cluster,+delta; 13; 86.00; [125.00,813.00,469.00,985.00,555.00,383.00,641.00,297.00,899.00,727.00,1157.00,211.00,1071.00]
fuzzer-out/afl/queue/id:000017,src:000014,op:havoc,rep:128; 12; 89.00; [926.00,659.00,1193.00,214.00,392.00,748.00,837.00,481.00,125.00,1104.00,570.00,303.00]
fuzzer-out/afl/queue/id:000018,src:000014+000005,op:splice,rep:128; 8; 92.00; [677.00,769.00,1137.00,953.00,585.00,1045.00,1229.00,861.00]
fuzzer-out/afl/queue/id:000019,src:000014+000016,op:splice,rep:32; 7; 89.00; [1104.00,659.00,481.00,125.00,392.00,570.00,214.00]
fuzzer-out/afl/queue/id:000020,src:000000+000018,op:splice,rep:8; 8; 86.00; [555.00,727.00,469.00,813.00,1071.00,211.00,1157.00,985.00]
fuzzer-out/afl/queue/id:000021,src:000020,op:havoc,rep:2; 8; 86.00; [555.00,727.00,469.00,813.00,985.00,211.00,1071.00,1157.00]
fuzzer-out/afl/queue/id:000022,src:000020,op:havoc,rep:2; 9; 86.00; [555.00,727.00,469.00,813.00,1157.00,211.00,985.00,1071.00,899.00]
fuzzer-out/afl/queue/id:000023,src:000020,op:havoc,rep:2; 9; 86.00; [555.00,727.00,469.00,899.00,985.00,211.00,1157.00,1071.00,813.00]
fuzzer-out/afl/queue/id:000024,src:000020,op:havoc,rep:2; 7; 86.00; [555.00,1071.00,1157.00,211.00,813.00,985.00,899.00]
fuzzer-out/afl/queue/id:000025,src:000013+000003,op:splice,rep:4,+delta; 13; 92.00; [125.00,585.00,401.00,861.00,493.00,309.00,677.00,217.00,1045.00,769.00,1229.00,953.00,1137.00]
